"ANT 8500, Séminaire de doctorat "
"ANT 8501, Séminaire avancé de recherche en anthropologie "
"ANT 9101, Comprehensive Exercise"
"ANT 9102, Thesis Proposal "
"ANT 9500, Séminaire de développement professionnel en anthropologie "
"ANT 9500,1 Séminaire de développement professionnel en anthropologie "
"ANT 9500,2 Séminaire de développement professionnel en anthropologie  "
"ANT 9501, Exercice de synthèse"
"ANT 9502, Projet de thèse de doctorat "
"ARB 1911, Cours élémentaire d'arabe I / Elementary Arabic I "
"ARB 1912, Cours élémentaire d'arabe II / Elementary Arabic II "
"ARB 2101, Arabic Culture I "
"ARB 2102, Arabic Culture II "
"ARB 2103, Pop Culture in the Arab World "
"ARB 2501, Culture arabe I "
"ARB 2502, Culture arabe II "
"ARB 2503, Culture populaire dans le monde arabe "
"ARB 2911, Cours intermédiaire d'arabe I / Intermediate Arabic I "
"ARB 2912, Cours intermédiaire d'arabe II / Intermediate Arabic II "
"ARB 3101, Arabic Cinema and Visual Media "
"ARB 3102, Special Topics in Arab Canadian Studies "
"ARB 3501, Cinéma et médias visuels arabes "
"ARB 3502, Sujets spéciaux en études arabes canadiennes "
"ARB 3901, Introduction à la littérature arabe / Introduction to Arabic Literature "
"ARB 3902, Sujets spéciaux en littérature arabe / Special Topics in Arabic Literature "
"ARB 3911, Cours avancé d'arabe I / Advanced Arabic I "
"ARB 3912, Cours avancé d'arabe II / Advanced Arabic II "
"ARB 3921, Études dirigées en arabe / Directed Studies in Arabic "
"ARB 4903, Thèmes choisis en culture arabe / Special Topics in Arabic Culture "
"ARB 4904, Stage en langue arabe / Practicum in Arabic "
"ARB 4911, Cours avancé d'arabe III / Advanced Arabic III "
"ARB 4912, Cours avancé d'arabe IV / Advanced Arabic IV "
"CLA 1101, Greek Civilization "
"CLA 1102, Roman Civilization "
"CLA 1501, La civilisation grecque "
"CLA 1502, La civilisation romaine "
"CLA 2101, The Beginnings of Greek Civilization "
"CLA 2102, Athens, Persia, and Sparta "
"CLA 2103, The Republic "
"CLA 2104, The Early Empire "
"CLA 2105, Introduction to Classical Archeology "
"CLA 2110, Archaeological Methods and Techniques "
"CLA 2120, Greek Art "
"CLA 2121, Roman Art "
"CLA 2122, Ancient Wisdoms "
"CLA 2130, Introduction to Greek Literature "
"CLA 2131, Introduction to Latin Literature "
"CLA 2145, Theatre History I "
"CLA 2170, Greek and Latin Roots of Medical Terminology "
"CLA 2323, Greek Mythology "
"CLA 2335, Deciphering the Medieval Era: Western Europe from the 5th to the 15th Century "
"CLA 2380, Greek Philosophy or the Birth of Philosophy "
"CLA 2382, The World of the New Testament "
"CLA 2383, Religion in Late Antiquity "
"CLA 2501, Les débuts de la civilisation grecque "
"CLA 2502, Athènes, la Perse et Sparte "
"CLA 2503, La République "
"CLA 2504, Le Haut-empire "
"CLA 2505, Initiation à l'archéologie classique "
"CLA 2510, Méthodes et techniques en archéologie "
"CLA 2520, L'art grec "
"CLA 2521, L'art romain "
"CLA 2522, Sagesses anciennes "
"CLA 2530, Introduction à la littérature grecque "
"CLA 2531, Introduction à la littérature latine "
"CLA 2545, Histoire du théâtre I "
"CLA 2570, Les racines grecques et latines de la terminologie médicale "
"CLA 2723, La mythologie grecque "
"CLA 2735, Décoder la période médiévale : l'occident du Ve au XVe siècle "
"CLA 2780, La philosophie grecque ou la naissance de la philosophie "
"CLA 2782, Le monde du Nouveau Testament "
"CLA 2783, Religion dans l'Antiquité tardive "
"CLA 3000, Stage archéologique I / Archaeological Field Work I "
"CLA 3110, Topics in Ancient History  I "
"CLA 3130, Topics in Greek and Latin Literature in Translation "
"CLA 3140, The Celtic Iron Age "
"CLA 3163, Women in Early Christianity "
"CLA 3333, Religions of the Graeco-Roman World "
"CLA 3370, Plato: The Philosopher as Poet, Lover, Dialectician and King "
"CLA 3380, Aristotle or the Pursuit of Wisdom for Its Own Sake "
"CLA 3510, Thèmes choisis en histoire ancienne I "
"CLA 3530, Thèmes choisis en littérature grecque et latine en traduction "
"CLA 3563, Femme dans le christianisme des origines "
"CLA 3733, Religions du monde gréco-romain "
"CLA 3770, Platon : Le philosophe comme poète, amant, dialecticien et roi "
"CLA 3780, Aristote. la recherche de la sagesse "
"CLA 3900, Stage archéologique II / Archaeological Field Work II "
"CLA 3901, Voyage d'études en Méditerranée / Ancient World Study Trip "
"CLA 4121, Seminar in Ancient Art "
"CLA 4150, Ancient History Seminar "
"CLA 4151, Seminar in Ancient Literature in Translation "
"CLA 4300, Seminar in Museum Studies "
"CLA 4521, Séminaire en art ancien "
"CLA 4550, Séminaire en histoire ancienne "
"CLA 4551, Séminaire de littérature ancienne en traduction "
"CLA 4700, Séminaire de muséologie "
"CLA 4999, Études dirigées / Directed Studies "
"CLA 5120, The Latin Chronicle Tradition "
"CLA 5121, Late Roman Historiography "
"CLA 5122, Topics in Latin Palaeography "
"CLA 5520, L'armée romaine de l'empire tardif "
"CLA 5521, Justinien et l'empire du VIe siècle "
"CLA 5901, Recherche scientifique et méthodologie I / Scholarly Research and Methodology I "
"CLA 5902, Recherche scientifique et méthodologie II / Scholarly Research and Methodology II "
"CLA 5920, La ville durant l'antiquité tardive / The City in Late Antiquity "
"CLA 5921, Rome et les Sassanides / Rome and the East "
"CLA 5922, Païens et chrétiens sous l'Empire romain tardif / Pagans and Christians in the Later Roman Empire "
"CLA 5923, Aspects de la littérature de l'antiquité tardive / Topics in Late Antique Literature "
